,gold,bitcoin,cpi,oil
,close,close,close,close
date,,,,
2011-01-25,1350.8,0.4,25.38,93.56
2011-01-26,1333.7,0.4,25.38,95.55
2011-01-27,1339.7,0.4,25.4,95.37
2011-01-28,1361.4,0.4,25.38,97.92
2011-01-31,1354.1,0.5,25.35,99.56
2011-02-01,1360.1,0.7,25.37,99.6
2011-02-02,1351.3,0.7,25.43,100.49
2011-02-03,1373.0,0.7,25.41,100.13
2011-02-04,1369.9,0.8,25.41,98.84
2011-02-07,1369.5,0.9,25.39,98.46
2011-02-08,1363.7,0.9,25.39,98.84
2011-02-09,1365.1,1.1,25.39,99.29
2011-02-10,1362.1,1.0,25.37,98.56
2011-02-11,1360.0,1.1,25.33,98.02
2011-02-14,1364.7,1.1,25.34,98.59
2011-02-15,1373.7,1.0,25.35,96.93
2011-02-16,1374.7,1.0,25.33,97.22
2011-02-17,1384.8,1.0,25.35,96.75
2011-02-18,1388.3,0.9,25.37,97.93
2011-02-22,1400.6,0.9,25.37,99.93
2011-02-23,1433.7,0.9,25.34,101.96
2011-02-24,1434.5,1.0,25.33,100.97
2011-02-25,1427.9,0.9,25.35,102.04
2011-02-28,1409.3,0.9,25.39,101.57
2011-03-01,1446.4,0.9,25.39,103.93
2011-03-02,1453.1,0.9,25.38,105.13
2011-03-03,1432.5,0.9,25.39,105.21
2011-03-04,1443.7,0.9,25.4,106.38
2011-03-07,1449.3,0.9,25.4,107.31
2011-03-08,1442.3,0.9,25.38,106.59
2011-03-09,1444.5,0.9,25.39,107.3
2011-03-10,1426.9,0.9,25.39,105.48
2011-03-11,1435.9,0.9,25.34,104.17
2011-03-14,1438.5,0.9,25.37,104.15
2011-03-15,1405.8,0.9,25.38,99.94
2011-03-16,1409.1,0.9,25.37,100.94
2011-03-17,1417.7,0.8,25.37,104.21
2011-03-18,1429.7,0.8,25.4,103.6
2011-03-21,1440.5,0.8,25.38,105.04
2011-03-22,1442.1,0.8,25.41,106.52
2011-03-23,1452.7,0.8,25.4,106.71
2011-03-24,1449.7,0.9,25.42,106.89
2011-03-25,1441.4,0.9,25.43,106.9
2011-03-28,1435.5,0.8,25.43,105.8
2011-03-29,1435.9,0.8,25.42,106.37
2011-03-30,1442.7,0.8,25.42,106.23
2011-03-31,1457.2,0.8,25.44,108.18
2011-04-01,1446.5,0.8,25.45,109.16
2011-04-04,1449.8,0.7,25.45,110.06
2011-04-05,1469.9,0.7,25.47,110.22
2011-04-06,1476.0,0.7,25.47,110.57
2011-04-07,1476.5,0.8,25.47,111.65
2011-04-08,1491.7,0.8,25.47,113.94
2011-04-11,1485.4,0.8,25.46,111.68
2011-04-12,1470.1,0.9,25.44,108.64
2011-04-13,1471.5,0.9,25.42,109.33
2011-04-14,1488.1,1.0,25.43,109.67
2011-04-15,1501.1,1.0,25.45,111.01
2011-04-18,1507.2,1.2,25.48,108.57
2011-04-19,1509.0,1.2,25.45,109.12
2011-04-20,1513.0,1.1,25.46,112.09
2011-04-21,1518.1,1.2,25.51,112.86
2011-04-25,1523.7,1.6,25.53,112.76
2011-04-26,1517.5,1.8,25.52,112.93
2011-04-27,1527.8,1.9,25.53,113.49
2011-04-28,1541.6,2.2,25.58,113.52
2011-04-29,1567.0,2.9,25.59,114.58
2011-05-02,1567.7,3.2,25.63,114.2
2011-05-03,1551.0,3.4,25.59,111.83
2011-05-04,1525.5,3.4,25.55,110.18
2011-05-05,1491.1,3.3,25.5,100.93
2011-05-06,1501.2,3.5,25.37,98.67
2011-05-09,1513.2,3.8,25.4,103.89
2011-05-10,1527.3,5.8,25.46,105.47
2011-05-11,1511.5,5.5,25.49,99.59
2011-05-12,1516.9,6.3,25.42,100.44
2011-05-13,1503.4,8.2,25.43,101.21
2011-05-16,1500.3,8.0,25.4,99.17
2011-05-17,1489.5,7.2,25.36,98.84
2011-05-18,1505.8,6.9,25.36,101.52
2011-05-19,1502.0,6.8,25.38,100.34
2011-05-20,1518.4,5.6,25.39,101.42
2011-05-23,1524.9,7.2,25.39,99.36
2011-05-24,1532.9,7.4,25.37,101.3
2011-05-25,1536.5,8.4,25.37,103.04
2011-05-26,1532.3,8.8,25.4,102.4
2011-05-27,1545.9,8.5,25.42,102.73
2011-05-31,1545.4,8.7,25.45,104.71
2011-06-01,1551.7,9.6,25.47,102.46
2011-06-02,1541.2,10.6,25.42,102.88
2011-06-03,1550.7,14.3,25.41,102.78
2011-06-06,1555.5,18.5,25.4,101.55
2011-06-07,1552.1,23.9,25.38,101.76
2011-06-08,1546.5,29.6,25.38,103.13
2011-06-09,1550.6,28.9,25.36,104.0
2011-06-10,1537.2,24.0,25.37,101.84
2011-06-13,1523.5,19.8,25.33,99.83
2011-06-14,1532.4,19.3,25.31,101.6
2011-06-15,1534.3,19.5,25.35,97.07
2011-06-16,1538.4,17.0,25.32,97.19
2011-06-17,1547.6,15.7,25.32,95.31
2011-06-20,1550.7,17.5,25.33,95.52
2011-06-21,1554.9,17.5,25.33,95.96
2011-06-22,1561.9,17.5,25.36,97.49
2011-06-23,1528.8,17.5,25.35,93.45
2011-06-24,1509.3,17.5,25.31,93.74
2011-06-27,1505.1,16.8,25.27,93.13
2011-06-28,1509.1,17.0,25.26,95.47
2011-06-29,1519.3,16.9,25.28,97.19
2011-06-30,1511.6,16.1,25.31,97.96
2011-07-01,1491.6,15.4,25.3,97.64
2011-07-05,1521.3,12.9,25.29,99.29
2011-07-06,1537.7,14.8,25.34,98.86
2011-07-07,1539.2,14.8,25.36,100.94
2011-07-08,1542.3,14.3,25.37,98.72
2011-07-11,1549.9,14.2,25.38,97.71
2011-07-12,1563.1,14.0,25.37,99.71
2011-07-13,1586.1,13.9,25.38,100.36
2011-07-14,1589.8,14.0,25.42,98.21
2011-07-15,1590.6,13.8,25.42,99.49
2011-07-18,1602.9,13.5,25.44,98.11
2011-07-19,1601.6,13.9,25.45,99.58
2011-07-20,1597.5,13.7,25.43,100.09
2011-07-21,1587.7,13.6,25.44,100.63
2011-07-22,1602.2,13.7,25.44,101.27
2011-07-25,1612.9,14.1,25.46,100.87
2011-07-26,1617.5,13.9,25.48,101.27
2011-07-27,1615.6,13.9,25.48,99.26
2011-07-28,1614.2,13.5,25.46,99.25
2011-07-29,1629.1,13.5,25.46,97.52
2011-08-01,1619.7,13.1,25.49,96.71
2011-08-02,1642.3,12.1,25.47,95.51
2011-08-03,1663.9,9.3,25.53,93.67
2011-08-04,1656.5,10.8,25.53,88.43
2011-08-05,1649.1,9.8,25.48,88.78
2011-08-08,1720.6,7.8,25.47,83.22
2011-08-09,1750.7,10.0,25.5,81.11
2011-08-10,1791.7,10.0,25.57,84.58
2011-08-11,1759.2,9.5,25.64,87.22
2011-08-12,1750.5,9.5,25.6,86.84
2011-08-15,1765.8,11.1,25.6,89.22
2011-08-16,1792.8,11.0,25.65,87.92
2011-08-17,1801.4,10.9,25.68,88.76
2011-08-18,1829.7,10.8,25.7,83.54
2011-08-19,1859.9,11.6,25.73,83.58
2011-08-22,1899.5,10.9,25.76,85.42
2011-08-23,1868.8,10.9,25.83,86.51
2011-08-24,1764.4,10.9,25.8,86.37
2011-08-25,1769.9,9.7,25.69,86.44
2011-08-26,1803.7,8.2,25.69,86.45
2011-08-29,1798.2,9.0,25.79,88.21
2011-08-30,1836.1,8.8,25.8,89.81
2011-08-31,1838.1,8.2,25.88,89.88
2011-09-01,1835.6,8.2,25.83,89.94
2011-09-02,1883.9,8.6,25.84,87.46
2011-09-06,1880.7,6.9,25.91,87.05
2011-09-07,1824.8,7.2,25.91,90.14
2011-09-08,1864.8,6.5,25.86,89.7
2011-09-09,1867.7,5.0,25.9,87.93
2011-09-12,1821.7,6.1,25.87,88.64
2011-09-13,1838.9,5.8,25.84,90.52
2011-09-14,1835.1,5.6,25.86,89.36
2011-09-15,1789.3,4.8,25.87,90.03
2011-09-16,1822.2,4.8,25.84,88.73
