,Date,cpi,Close
0,2014-10-01,2.4,
1,2014-11-01,2.0,-15.084394121303756
2,2014-12-01,1.5,16.422461204661353
3,2015-01-01,1.0,-17.138262299282292
4,2015-02-01,1.0,-27.773197351184507
5,2015-03-01,1.2,14.640570643074913
6,2015-04-01,0.8,-4.969213610490519
7,2015-05-01,0.9,-6.144249173247496
8,2015-06-01,1.0,-3.943915734381731
9,2015-07-01,1.3,16.012043368921592
10,2015-08-01,1.3,8.885593521905877
11,2015-09-01,1.0,-18.991412861146205
12,2015-10-01,1.0,4.132891718580112
13,2015-11-01,1.4,36.99531695768565
14,2015-12-01,1.6,11.387055013197877
15,2016-01-01,2.0,19.820244149484378
16,2016-02-01,1.4,-14.108500113674038
17,2016-03-01,1.3,16.637444780408316
18,2016-04-01,1.7,-3.944400905540768
19,2016-05-01,1.5,8.114415190519985
20,2016-06-01,1.5,18.82046650069156
21,2016-07-01,1.3,25.958437460503305
22,2016-08-01,1.1,-10.354052933279046
23,2016-09-01,1.3,-5.602929957641301
24,2016-10-01,1.5,7.282854279883089
25,2016-11-01,1.2,18.862096258366744
26,2016-12-01,1.5,3.6970697020770382
27,2017-01-01,2.1,31.918515851417606
28,2017-02-01,2.0,-0.9317608883067874
29,2017-03-01,1.6,23.606830947239544
30,2017-04-01,1.6,-11.615541922290385
31,2017-05-01,1.3,31.568715964831085
32,2017-06-01,1.0,69.37816007672753
33,2017-07-01,1.2,1.107620284063815
34,2017-08-01,1.4,11.653486487843413
35,2017-09-01,1.6,79.96842641995828
36,2017-10-01,1.4,-9.980959878566198
37,2017-11-01,2.1,53.67187207709401
38,2017-12-01,1.9,62.18555841701534
39,2018-01-01,1.7,24.432383482730955
40,2018-02-01,2.2,-32.85197618793491
41,2018-03-01,2.3,19.41499577372927
42,2018-04-01,2.2,-37.501324262624415
43,2018-05-01,2.2,33.23646038556991
44,2018-06-01,2.5,-17.29968068333352
45,2018-07-01,3.0,-15.323715480693433
46,2018-08-01,2.8,19.40377846777157
47,2018-09-01,2.2,-5.66118350470437
48,2018-10-01,2.4,-8.391615514544881
49,2018-11-01,1.7,-3.2147578804048504
50,2018-12-01,2.0,-33.91631544079724
51,2019-01-01,1.4,-8.806186246705149
52,2019-02-01,1.5,-9.251277608799857
53,2019-03-01,1.9,10.654938470934683
54,2019-04-01,2.0,7.736569151366557
55,2019-05-01,2.4,29.929277513141162
56,2019-06-01,2.0,58.513723430233
57,2019-07-01,2.0,23.576766111458312
58,2019-08-01,1.9,-1.7335678421993905
59,2019-09-01,1.9,-6.170371820427201
60,2019-10-01,1.9,-14.497833402646565
61,2019-11-01,2.2,11.000811727036485
62,2019-12-01,2.2,-19.833617184502017
63,2020-01-01,2.4,-3.0187141010910246
64,2020-02-01,2.2,30.45343887199301
65,2020-03-01,0.9,-8.840966136566287
66,2020-04-01,-0.2,-22.840154372835663
67,2020-05-01,-0.4,34.176883090494336
68,2020-06-01,0.7,14.693020261877399
69,2020-07-01,0.1,-9.234961729600943
70,2020-08-01,0.1,27.42932790634065
71,2020-09-01,0.5,1.793308212884659
72,2020-10-01,0.7,-11.253923025711721
73,2020-11-01,1.0,29.31076483680355
74,2020-12-01,0.7,36.877399267267606
75,2021-01-01,1.0,56.22057860441365
76,2021-02-01,1.1,14.172403643335585
